rule_id,clause_type,normalized_value,value_type,raw_value,unit,confidence,operational_or_requirement,source_snippet,source_snippet_hash,source_section,detected_by_pass,high_value,source_file,source_family,artifact_type,extraction_mode,has_table_data,quality_notes
R-0011,supplemental_liability_limit,10000.0,currency,"$10,000",USD,HIGH,operational,"membership to be eligible for the offer and receive a unique promo code.
7. The complimentary upgrade to the Prestige tier remains valid for a duration of 6 months.
Within this period, the Eligible Ca",504669d49ff949a9,6. Eligible Card Member must register their interest for the Paragon Club Prestige tier,rental-car-pass,True,2026 amex _Platinum_TermsandConditions.pdf,credit_card,PDF,native_pdf,False,
R-0012,final_payment_deadline,30,days,30 days,days,HIGH,operational,"will be cancelled. Reservations made less than 30 days before departure must be ticketed
within 72 hours after bookings are made or reservations will be cancelled.",f308f9361f420ee9,7. Advance reservations must be ticketed no later than 30 days before departure or reservations,cruise-booking-pass,True,2026 amex _Platinum_TermsandConditions.pdf,credit_card,PDF,native_pdf,False,
R-0013,check_in_deadline,72,duration,72 hours,hours,HIGH,operational,"will be cancelled. Reservations made less than 30 days before departure must be ticketed
within 72 hours after bookings are made or reservations will be cancelled.",25d635491f926429,7. Advance reservations must be ticketed no later than 30 days before departure or reservations,cruise-booking-pass,True,2026 amex _Platinum_TermsandConditions.pdf,credit_card,PDF,native_pdf,False,
R-0014,eu_cancellation_compensation,10000.0,currency,"$10,000",USD,HIGH,operational,"membership to be eligible for the offer and receive a unique promo code.
7. The complimentary upgrade to the Prestige tier remains valid for a duration of 6 months.
Within this period, the Eligible Ca",1dfc823752ce57ad,6. Eligible Card Member must register their interest for the Paragon Club Prestige tier,eu-passenger-rights-pass,True,2026 amex _Platinum_TermsandConditions.pdf,credit_card,PDF,native_pdf,False,
R-0015,baggage_liability_limit,30000.0,currency,"$30,000",USD,HIGH,operational,"... year will be available online. Health protection is not available for trips within the U.S. and is limited to $30,000 in coverage for trips to Canada.
[TABLE HEADER p2] Basic Protection Plan | Ult",0bb04abc48669297,"Better: If bags are delayed for more than 24 hours on your outbound journey, ACIS will pay $50 for",liability-pass,True,2026-2027-ACIS-International-Protection-Plans.pdf,other,PDF,native_pdf,True,Document contains table data
R-0016,carrier_liability_cap,1000.0,currency,"$1,000",USD,HIGH,operational,"emergency purposes. If bags are stolen or lost, up to $1,000 total will be reimbursed if a signed
police or airline report accompanies the claim.
$50 deductible applies.
[TABLE CLAUSE p1] Baggage Dela",865b6a095bb4ce10,"Better: If bags are delayed for more than 24 hours on your outbound journey, ACIS will pay $50 for",liability-pass,True,2026-2027-ACIS-International-Protection-Plans.pdf,other,PDF,native_pdf,True,Document contains table data
R-0017,hotel_cancellation_window,24,duration,24 hours,hours,HIGH,operational,"emergency purposes. If bags are stolen or lost, up to $1,000 total will be reimbursed if a signed
police or airline report accompanies the claim.
$50 deductible applies.
[TABLE CLAUSE p1] Baggage Dela",4b0c8311636fabcc,"Better: If bags are delayed for more than 24 hours on your outbound journey, ACIS will pay $50 for",refund-cancellation-pass,True,2026-2027-ACIS-International-Protection-Plans.pdf,other,PDF,native_pdf,True,Document contains table data
R-0018,medical_evacuation_cost_estimate,1500.0,currency,"$1,500",USD,HIGH,operational,"Team Assist will pay up to $1,500 for an immediate family member to travel to the trip destination
in the event that a participant under age 21 is hospitalized for more than 48 hours or more than 1
we",945429f0d78ccc3b,"Better: Coverage up to $50,000. No deductible.",additional-insurance-pass,True,2026-2027-ACIS-International-Protection-Plans.pdf,other,PDF,native_pdf,True,Document contains table data
R-0019,missed_connection_threshold,24,duration,24 hours,hours,HIGH,operational,"emergency purposes. If bags are stolen or lost, up to $1,000 total will be reimbursed if a signed
police or airline report accompanies the claim.
$50 deductible applies.
[TABLE CLAUSE p1] Baggage Dela",c948aea833489137,"Better: If bags are delayed for more than 24 hours on your outbound journey, ACIS will pay $50 for",additional-insurance-pass,True,2026-2027-ACIS-International-Protection-Plans.pdf,other,PDF,native_pdf,True,Document contains table data
R-0020,eu_care_obligation,protection on tour and does not offer any special cancellation benefits for medical (including flight costs) or activities once the program has started unless you or job loss-related reasons. have sel,text_rule,"protection on tour and does not offer any special cancellation benefits for medical
(including flight costs) or activities once the program has started unless you
or job loss-related reasons.
have sel",,HIGH,operational,"protection on tour and does not offer any special cancellation benefits for medical
(including flight costs) or activities once the program has started unless you
or job loss-related reasons.
have sel",7df0eb2799f92446,"3. Refunds are not available for missed meals, accommodations, transportation",eu-passenger-rights-pass,True,2026-2027-ACIS-International-Protection-Plans.pdf,other,PDF,native_pdf,True,Document contains table data; Text rule — manual review recommended
R-0021,requires_receipts,True,boolean,...d cannot block the aisle. Dogs trained to detect explosives/drugs or trained for search and rescu,,HIGH,requirement,"...d cannot block the aisle. Dogs trained to detect explosives/drugs or trained for search and rescue (documentation required) are also welcome at no charge.
Traveling with pets 
Traveling with servic",bcca6ffd63dc9f53,Firearms,documentation-requirements-pass,False,American Airlines Conditions of Carriage.txt,airline,TXT,txt,False,
R-0022,payment_method_requirement,"We'll refund the original credit card within 7 business days (allow 1-2 billing cycles for credit to show). For all other forms of payment, we'll process refunds within 20 days of receiving all your p",text_rule,"We'll refund the original credit card within 7 business days (allow 1-2 billing cycles for credit to show). For all other forms of payment, we'll process refunds within 20 days of receiving all your p",,HIGH,requirement,"We'll refund the original credit card within 7 business days (allow 1-2 billing cycles for credit to show). For all other forms of payment, we'll process refunds within 20 days of receiving all your p",5bea52095de554b4,The value of the unused travel if the ticket is partially used,payment-eligibility-pass,False,American Airlines Conditions of Carriage.txt,airline,TXT,txt,False,Text rule — manual review recommended
R-0023,check_in_deadline,24,duration,24 hours,hours,HIGH,operational,"...nload the American Airlines app to get real time updates about your travel.
American Airlines app 
 Check-in and arrivalExpand
Check-in times
You can check in on aa.com and in the app beginning 24 ",871e90975c2df20e,Special assistance issues,cruise-booking-pass,True,American Airlines Conditions of Carriage.txt,airline,TXT,txt,False,
R-0024,requires_medical_certificate,True,boolean,"covers you, your immediate family, as well as
Supplementary Cardmembers. The policy also takes
all t",,HIGH,requirement,"covers you, your immediate family, as well as
Supplementary Cardmembers. The policy also takes
all the hassle out of European travel by providing the
necessary insurance required for a Schengen State ",982bfe23e3bdbc4c,Travel insurance coverage up to Baht 25 Million that,documentation-requirements-pass,False,American Express 2026 Benefit Guide.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0025,requires_police_report,True,boolean,5) The Eligible Cardmember may purchase tickets for their companion(s) and must travel together on s,,HIGH,requirement,"5) The Eligible Cardmember may purchase tickets for their companion(s) and must travel together on same itinerary for the whole journey.
6) The person using the companion ticket must travel with and h",abe742079dd449ce,4) APP tickets are non-transferable and non-endorsable.,documentation-requirements-pass,False,American Express 2026 Benefit Guide.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0026,personal_effects_coverage_limit,100.0,currency,$100,USD,HIGH,operational,"... p.m. check-out for Fine
Hotels + Resorts and when available for The Hotel
Collection)
•Additional special benefit, such as complimentary
US$100 credit for food and beverage or spa services
(varies",31521f4cfb60dd9b,"Enjoy elevated benefits with every booking at over 2,600",rental-car-pass,True,American Express 2026 Benefit Guide.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0027,requires_receipts,True,boolean,"Mail: Aon Affinity Travel Practice, 45 Executive Drive, Suite 100, Plainview, NY 11803
Phone: 1-800-",,HIGH,requirement,"Mail: Aon Affinity Travel Practice, 45 Executive Drive, Suite 100, Plainview, NY 11803
Phone: 1-800-722-5672 or 1-516-342-7262
Notice of Claim: Notice of claim must be reported to Us within 30 days af",fd9430af1d14f9c1,To expedite your claim submission: www.aontravelclaim.com,documentation-requirements-pass,False,California NorwegianCare Ver. 260101.pdf,cruise,PDF,native_pdf,True,Document contains table data
R-0028,requires_medical_certificate,True,boolean,The following Cancel for Any Reason NorwegianCare Credit Program is provided by Norwegian Cruise Lin,,HIGH,requirement,"The following Cancel for Any Reason NorwegianCare Credit Program is provided by Norwegian Cruise Line and is not an
insurance benefit. You must purchase NorwegianCare to receive this program benefit.
",8cb2a14c48c70784,CANCEL FOR ANY REASON FUTURE CRUISE CREDIT FEATURE,documentation-requirements-pass,False,California NorwegianCare Ver. 260101.pdf,cruise,PDF,native_pdf,True,Document contains table data
R-0029,requires_police_report,True,boolean,"a) take all necessary and reasonable steps to protect, save or recover the property;
b) notify, with",,HIGH,requirement,"a) take all necessary and reasonable steps to protect, save or recover the property;
b) notify, within 48 hours of the loss in writing, the police, hotel proprietors, ship lines, airlines, railroad, b",4280279e77993c61,"In case of lost, stolen, damaged, destroyed or delayed Baggage and Personal Effects, You must:",documentation-requirements-pass,False,California NorwegianCare Ver. 260101.pdf,cruise,PDF,native_pdf,True,Document contains table data
R-0030,supplemental_liability_limit,1500.0,currency,"$1,500",USD,HIGH,operational,"Baggage and Personal Effects ......................................................................................................................................$1,500
Per Item .....................",1d08d3afc9835d6b,Coverage For Your Belongings and Property of Others,rental-car-pass,True,California NorwegianCare Ver. 260101.pdf,cruise,PDF,native_pdf,True,Document contains table data
R-0031,medical_evacuation_cost_estimate,50000.0,currency,"$50,000",USD,HIGH,operational,".................................................................................... $50,000
Emergency Medical Evacuation ..............................................................................",82bdab11a484ee19,Part B – Travel Insurance Benefits,additional-insurance-pass,True,California NorwegianCare Ver. 260101.pdf,cruise,PDF,native_pdf,True,Document contains table data
R-0032,missed_connection_threshold,3,duration,3 hours,hours,HIGH,operational,"If You are delayed for 3 hours or more while en route to, during or returning from Your Trip due to a covered Travel Hazard,
We will reimburse You up to the Maximum Benefit Amount shown in the Schedul",896eaecb3a4312ee,TRIP DELAY,additional-insurance-pass,True,California NorwegianCare Ver. 260101.pdf,cruise,PDF,native_pdf,True,Document contains table data
R-0033,hotel_cancellation_window,24,duration,24 hours,hours,HIGH,operational," Emergency Message Relay
A covered person may send and receive emergency messages toll-free 24 hours a day through Chubb’s
Assistance Provider’s Response Center. This service is staffed by multilingu",37063b303fb3cdf1,EMERGENCY TRAVEL SERVICES,refund-cancellation-pass,True,California State University.pdf,academic,PDF,native_pdf,False,
R-0034,requires_medical_certificate,True,boolean,"Provider will, arrange a payment guarantee to cover on-site medical and hospital expenses. If it is ",,HIGH,requirement,"Provider will, arrange a payment guarantee to cover on-site medical and hospital expenses. If it is necessary
to provide a guarantee of payment to a medical provider, or to make arrangements to pay in",547b37ac78b7cb62,"When it is necessary to obtain Emergency medical services for a covered person, Chubb’s Assistance",documentation-requirements-pass,False,California State University.pdf,academic,PDF,native_pdf,False,
R-0035,payment_method_requirement,... satisfactory guarantee of reimbursement is the ability to debit a covered person’s valid credit or debit card in the amount required and a written guarantee of payment signed by the covered person,text_rule,"... satisfactory guarantee of reimbursement is the ability to debit a covered person’s valid
credit or debit card in the amount required and a written guarantee of payment signed by the covered person",,HIGH,requirement,"... satisfactory guarantee of reimbursement is the ability to debit a covered person’s valid
credit or debit card in the amount required and a written guarantee of payment signed by the covered person",c90c06cb8f6e0c3a,EMERGENCY TRAVEL SERVICES,payment-eligibility-pass,False,California State University.pdf,academic,PDF,native_pdf,False,Text rule — manual review recommended
R-0036,hotel_cancellation_window,24,duration,24 hours,hours,HIGH,operational,"which provides You with security and convenience when You need
help, whether You need a tow or roadside service. Dependable
roadside assistance is available 24 hours a day, 7 days a week in
the United",20d76253f3c772c7,Roadside Assistance is a pay-per-use roadside assistance program,refund-cancellation-pass,True,Chase Sapphire Preferred Visa Signature benefit coverage.pdf,credit_card,PDF,native_pdf,False,
R-0037,requires_receipts,True,boolean,"...iled with the
Common Carrier
• Copy of the settlement or denial from the Common Carrier
• Copies ",,HIGH,requirement,"...iled with the
Common Carrier
• Copy of the settlement or denial from the Common Carrier
• Copies of original receipts
• Copies of itemized receipts for the purchase of replacement items
• Any other",26c6316018dbf67b,Common Carrier fare was made on Your Covered Card and/or,documentation-requirements-pass,False,Chase Sapphire Preferred Visa Signature benefit coverage.pdf,credit_card,PDF,native_pdf,False,
R-0038,requires_police_report,True,boolean,"boards the Common Carrier and ends when the Covered Traveler
exits the Common Carrier.
Please Pay Sp",,HIGH,requirement,"boards the Common Carrier and ends when the Covered Traveler
exits the Common Carrier.
Please Pay Special Attention to These Conditions:
• I f the Covered Traveler’s Checked Baggage is lost, stolen, o",0d0a252ad0d257e3,Coverage for Carry-On Baggage begins when the Covered Traveler,documentation-requirements-pass,False,Chase Sapphire Preferred Visa Signature benefit coverage.pdf,credit_card,PDF,native_pdf,False,
R-0039,baggage_delay_threshold,24,duration,24 hours,hours,HIGH,operational,"which provides You with security and convenience when You need
help, whether You need a tow or roadside service. Dependable
roadside assistance is available 24 hours a day, 7 days a week in
the United",12347b8466702715,Roadside Assistance is a pay-per-use roadside assistance program,additional-insurance-pass,True,Chase Sapphire Preferred Visa Signature benefit coverage.pdf,credit_card,PDF,native_pdf,False,
R-0040,eu_refund_deadline,7,days,7 days,days,HIGH,operational,"...her You need a tow or roadside service. Dependable
roadside assistance is available 24 hours a day, 7 days a week in
the United States and Canada. Roadside Assistance is provided as
a benefit under",17d16fc4636f3d52,Roadside Assistance is a pay-per-use roadside assistance program,eu-passenger-rights-pass,True,Chase Sapphire Preferred Visa Signature benefit coverage.pdf,credit_card,PDF,native_pdf,False,
R-0041,requires_receipts,True,boolean,"...iled with the
Common Carrier
• Copy of the settlement or denial from the Common Carrier
• Copies ",,HIGH,requirement,"...iled with the
Common Carrier
• Copy of the settlement or denial from the Common Carrier
• Copies of original receipts
• Copies of itemized receipts for the purchase of replacement items
• A ny othe",0abfa0e7422304f6,Common Carrier fare was made on Your Covered Card and/or,documentation-requirements-pass,False,Chase Sapphire Reserve Visa Infinite Coverage Benefits Guide.pdf,credit_card,PDF,native_pdf,False,
R-0042,requires_police_report,True,boolean,"boards the Common Carrier and ends when the Covered Traveler
exits the Common Carrier.
Please Pay Sp",,HIGH,requirement,"boards the Common Carrier and ends when the Covered Traveler
exits the Common Carrier.
Please Pay Special Attention to These Conditions:
• If the Covered Traveler’s Checked Baggage is lost, stolen, or",fb11fe3a5a17dd12,Coverage for Carry-On Baggage begins when the Covered Traveler,documentation-requirements-pass,False,Chase Sapphire Reserve Visa Infinite Coverage Benefits Guide.pdf,credit_card,PDF,native_pdf,False,
R-0043,requires_medical_certificate,True,boolean,"Hospital, Physician or other provider that are required to identify
or treat the Covered Traveler’s ",,HIGH,requirement,"Hospital, Physician or other provider that are required to identify
or treat the Covered Traveler’s illness or injury and which, as
determined by Us, are: 1) indicated for the symptom or diagnosis
and",49df683cefc84c58,Medically Necessary - the services or supplies provided by a,documentation-requirements-pass,False,Chase Sapphire Reserve Visa Infinite Coverage Benefits Guide.pdf,credit_card,PDF,native_pdf,False,
R-0044,medical_evacuation_cost_estimate,100000.0,currency,"$100,000",USD,HIGH,operational,"necessary emergency evacuation and transportation expenses up
to $100,000 when the Covered Traveler becomes seriously sick or
injured while traveling on a Covered Trip, resulting in emergency
evacuati",6b78efef64ed489d,The Emergency Evacuation and Transportation benefit will cover,additional-insurance-pass,True,Chase Sapphire Reserve Visa Infinite Coverage Benefits Guide.pdf,credit_card,PDF,native_pdf,False,
R-0045,claim_deadline_days,7,days,7 business days,days,HIGH,operational,"...en buying the ticket.
❖ If paid by credit card: We will send the refund
request to your card issuer within 7 business days.
❖ If paid by cash, check, or other methods: We will
process the refund wi",e32b59aa7918c257,2.8 Refunds,delay-threshold-pass,True,Conditions of Carriage _ Ethiopian Airlines United States of America _ US.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0046,baggage_liability_limit,10000.0,currency,"USD 10,000",USD,HIGH,operational,"...e
incident occurred:
❖ Onboard the aircraft, or
❖ During embarkation or disembarkation operations
● Limit of liability:
❖ Warsaw Convention: 8,300 SDR (~USD 10,000) per
passenger
❖ Warsaw + Hague P",463709eb2923fb42,Liability for Death or Bodily Injury,liability-pass,True,Conditions of Carriage _ Ethiopian Airlines United States of America _ US.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0047,hotel_cancellation_window,24,duration,24 hours,hours,HIGH,operational,"Less than 24 hours 4 hours
25 – 96 hours 12 hours
97 – 240 hours 24 hours
241 – 720 hours 48 hours
721+ hours 72 hours
● Tickets not collected in time will be automatically cancelled.
● Refund Note:
❖",46e252d261283e26,Time to Departure Generated TTL(after booking),refund-cancellation-pass,True,Conditions of Carriage _ Ethiopian Airlines United States of America _ US.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0048,requires_medical_certificate,True,boolean,"... check their specific
policies.
Stretcher Passengers
● Only one stretcher passenger per flight.
●",,HIGH,requirement,"... check their specific
policies.
Stretcher Passengers
● Only one stretcher passenger per flight.
● A Medical Certificate (MEDIF) is required
confirming fitness to fly.
In-Flight Oxygen
● Oxygen is a",372b4db9e66d56c4,4.4 Passengers Requiring Special Assistance (PRSA),documentation-requirements-pass,False,Conditions of Carriage _ Ethiopian Airlines United States of America _ US.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0049,dental_emergency_limit,27.0,currency,USD 27,USD,HIGH,operational,"Allow to subscribe.
Convention Limit per kg
Warsaw 17 SDR (~USD 27)
Montreal 19 SDR (~USD 31)
● If the consignor declares a higher value at the
time of handover and pays a surcharge, Ethiopian will
co",24e31b4369662514,14.2. Liability Limits For Cargo,medical-insurance-pass,True,Conditions of Carriage _ Ethiopian Airlines United States of America _ US.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0050,cruise_cancellation_window,7,days,7 days,days,HIGH,operational,"...proval must be
secured beforehand.
For travel to/from the USA:
● If you book your flight at least 7 days before
departure, Ethiopian Airlines will:
❖ Hold your reservation at the quoted fare for 24",d56212ee2c80e446,2.1 Reservation / Booking Requirements,cruise-booking-pass,True,Conditions of Carriage _ Ethiopian Airlines United States of America _ US.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0051,check_in_deadline,2,duration,2 hours,hours,HIGH,operational,"...sation.
Ethiopian Airlines wants to start
sending you push notifications. Click
Allow to subscribe.
Check-In/Reporting Time
9.Check-In/Reporting Time
To ensure a smooth journey, passengers are requ",b29c47b828f05d4d,8.3 Baggage Claim Time Limit,cruise-booking-pass,True,Conditions of Carriage _ Ethiopian Airlines United States of America _ US.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0052,eu_refund_deadline,7,days,7 days,days,HIGH,operational,"...approval must be
secured beforehand.
For travel to/from the USA:
● If you book your flight at least 7 days before
departure, Ethiopian Airlines will:
❖ Hold your reservation at the quoted fare for ",5e7b17972f7918ff,2.1 Reservation / Booking Requirements,eu-passenger-rights-pass,True,Conditions of Carriage _ Ethiopian Airlines United States of America _ US.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0053,eu_cancellation_compensation,10000.0,currency,"USD 10,000",USD,HIGH,operational,"Under these Conventions:
● Ethiopian is liable for death or bodily injury if the
incident occurred:
❖ Onboard the aircraft, or
❖ During embarkation or disembarkation operations
● Limit of liability:
❖",37c608e857385a7b,Liability for Death or Bodily Injury,eu-passenger-rights-pass,True,Conditions of Carriage _ Ethiopian Airlines United States of America _ US.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0054,requires_medical_certificate,True,boolean,"a licensed physician and medical screening prior to flight. Medical screening
service is provided by",,HIGH,requirement,"a licensed physician and medical screening prior to flight. Medical screening
service is provided by Delta at no cost to the passenger. If the passenger makes
any voluntary change to his/her itinerary",8fe61102f7506b05,Medication to obtain information regarding the required medical certificate from,documentation-requirements-pass,False,Delt Contract of Carriage.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0055,requires_receipts,True,boolean,"...must
provide Delta with a copy of the ticket receipt and baggage claim tags; and
dated and itemiz",,HIGH,requirement,"...must
provide Delta with a copy of the ticket receipt and baggage claim tags; and
dated and itemized original receipts for reasonable items within 30 days of the
luggage delay. If Delta does not loc",e82147efc78fbf43,For baggage carried on international flights operated by Delta to and from Brazil,documentation-requirements-pass,False,Delt Contract of Carriage.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0056,emergency_evacuation_limit,100.0,currency,$100,USD,HIGH,operational,"...g when the delay
is during the period of 10:00 pm to 6:00 am. Delta will provide free public
ground transportation to the hotel if the hotel does not offer such service. If
accommodations are not a",06e9001f17ba12f4,"Except as provided above, Delta shall have no liability if the flight cancellation,",medical-insurance-pass,True,Delt Contract of Carriage.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0057,check_in_deadline,2,duration,2 hours,hours,HIGH,operational,"emotional support animals.
4. Check-In Requirements
Minimum check-in time of 2 hours will apply, except in the case of Istanbul,
Turkey (3 hour, 15 minute minimum).",7e41c3a231e1aeed,Operating Carrier for the applicable policy regarding acceptance and carriage of,cruise-booking-pass,True,Delt Contract of Carriage.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0058,cruise_cancellation_window,20,days,"20
days",days,HIGH,operational,"the subscriber against whose account the ticket was charged, typically within 20
days of Delta's receipt of initial refund request.",36cbec86d7755c43,3. Tickets charged under a UATP (universal air travel plan) will be refunded to,cruise-booking-pass,True,Delt Contract of Carriage.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0059,baggage_delay_threshold,12,duration,12 hours,hours,HIGH,operational,"arrival for international itineraries with a non-stop flight segment between the
United States and a foreign point that is 12 hours or less in duration, and
within 30 hours of the last flight segment’",79eee47ea09479f9,2. If checked baggage is not delivered within 15 hours of last flight segment’s,additional-insurance-pass,True,Delt Contract of Carriage.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0060,eu_refund_deadline,20,days,"20
days",days,HIGH,operational,"the subscriber against whose account the ticket was charged, typically within 20
days of Delta's receipt of initial refund request.",39af1ec30c45ec15,3. Tickets charged under a UATP (universal air travel plan) will be refunded to,eu-passenger-rights-pass,True,Delt Contract of Carriage.pdf,airline,PDF,native_pdf,True,Document contains table data
R-0061,baggage_liability_limit,2000.0,currency,"$2,000,",USD,HIGH,operational,"items have sub-limits, such as art, collectibles, and jewelry.
Example: Your coin collection was stolen out of your bag on the bus. Even though the actual cost
value is $2,000, your insurance company ",897636b4cc15bbfa,This refers to the maximum amount your insurance company will pay out for a specific item. Lots of,liability-pass,True,Does Renters Insurance Cover Theft_ _ Progressive.pdf,rental,PDF,native_pdf,True,Document contains table data
R-0062,repatriation_remains_limit,30000.0,currency,"$30,000",USD,HIGH,operational,"replace stolen items, minus your deductible and up to your coverage limit. Your selected amount of
personal property coverage should cover the cumulative worth of your belongings (creating a home
inve",97917bcda620f907,"If you're a victim of theft, personal property coverage under a renters insurance policy can pay to",medical-insurance-pass,True,Does Renters Insurance Cover Theft_ _ Progressive.pdf,rental,PDF,native_pdf,True,Document contains table data
R-0063,personal_accident_coverage_limit,30000.0,currency,"$30,000",USD,HIGH,operational,"replace stolen items, minus your deductible and up to your coverage limit. Your selected amount of
personal property coverage should cover the cumulative worth of your belongings (creating a home
inve",0c942d51be412af6,"If you're a victim of theft, personal property coverage under a renters insurance policy can pay to",rental-car-pass,True,Does Renters Insurance Cover Theft_ _ Progressive.pdf,rental,PDF,native_pdf,True,Document contains table data
R-0064,supplemental_liability_limit,30000.0,currency,"$30,000",USD,HIGH,operational,"replace stolen items, minus your deductible and up to your coverage limit. Your selected amount of
personal property coverage should cover the cumulative worth of your belongings (creating a home
inve",28048102ce554fdf,"If you're a victim of theft, personal property coverage under a renters insurance policy can pay to",rental-car-pass,True,Does Renters Insurance Cover Theft_ _ Progressive.pdf,rental,PDF,native_pdf,True,Document contains table data
